miRNA	PO1	PO2	PO3	PO4	PO5	PDE5.1	PDE5.2	PDE5.3	PDE5.4	PDE5.5
mmu-miR-145a-5p	1353	4527	3643	4744	3630	2743	3396	1482	1325	908
mmu-miR-150-5p	1576	11892	6487	5734	7459	6318	7986	4124	3396	3869
mmu-miR-3068-5p	39	43	57	71	16	13	15	3	0	0
mmu-miR-101a-5p	83	186	119	130	92	19	44	0	0	0
mmu-miR-148b-5p	46	139	169	269	133	31	64	16	11	8
mmu-miR-196b-5p	11	0	22	12	0	11	16	4	0	0
mmu-miR-382-5p	24	23	20	16	8	25	22	0	14	7
mmu-miR-154-5p	24	35	37	41	34	16	21	0	8	2
mmu-miR-187-5p	0	34	32	23	0	21	0	0	0	0
mmu-miR-222-5p	56	46	72	80	39	24	35	5	7	0
mmu-miR-505-5p	154	308	455	432	253	176	287	160	105	84
mmu-miR-30e-5p	110597	130202	95332	141520	110535	25976	53896	2238	1357	1357
mmu-miR-345-5p	195	386	291	395	277	201	316	119	96	76
mmu-miR-190b-5p	23	34	17	28	20	9	23	0	0	0
mmu-miR-20a-5p	320	547	358	668	404	225	346	19	12	12
mmu-miR-126a-5p	186699	159075	135601	270193	147469	15282	35497	907	705	741
mmu-miR-497a-5p	1079	4229	4396	4344	2858	1437	1806	689	692	390
mmu-miR-872-5p	354	556	614	817	420	101	191	7	7	7
mmu-miR-485-5p	10	15	28	17	12	13	17	6	8	11
mmu-miR-376b-5p	12	48	42	48	26	10	6	0	0	4
